No.,Name,Type,Address
593,답십리초교사거리,일반,"서울특별시 동대문구 전농로 38 (답십리동)"
594,장안사거리,일반,"서울특별시 동대문구 답십리로 267 (장안동)"
595,서울숲역,일반,"서울특별시 성동구 왕십리로 50 (성수동1가) 1층"
596,금호역,일반,"서울특별시 성동구 동호로 99 (금호동4가)"
597,뚝섬역,일반,"서울특별시 성동구 아차산로 42 (성수동1가)"
598,황학사거리,일반,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)"
599,성수역,일반,"서울특별시 성동구 성수이로 94 (성수동2가)"
600,상왕십리역,일반,"서울특별시 성동구 왕십리로 382 (하왕십리동)"
601,왕십리역,일반,"서울특별시 성동구 왕십리로 326 (도선동)"
602,한양대,일반,"서울특별시 성동구 왕십리로 225 (행당동) 1,2층"
603,엔터식스,일반,"서울특별시 성동구 왕십리광장로 17 (행당동)"
604,신금호역,일반,"서울특별시 성동구 금호로 158-1 (금호동1가) 1~5층 전체"
605,뚝섬역교차로,일반,"서울특별시 성동구 아차산로 6 (성수동1가)"
606,왕십리역9번출구,일반,"서울특별시 성동구 고산자로 234 (행당동)"
607,성수,일반,"서울특별시 성동구 아차산로 104 (성수동2가)"
608,옥수,일반,"서울특별시 성동구 독서당로 202 (옥수동)"
609,성수낙낙,일반,"서울특별시 성동구 광나루로8길 31 (성수동2가) 성수낙낙 1층 101~107호"
610,효창공원앞역,일반,"서울특별시 용산구 백범로 313 (효창동, 용산 롯데캐슬 센터포레)"
611,서울역서부,일반,"서울특별시 용산구 만리재로 202 (서계동)"
612,이태원역,일반,"서울특별시 용산구 이태원로 188 (이태원동)"
613,한강진역R,R,"서울특별시 용산구 이태원로 252 (한남동)"
614,용산역써밋R,R,"서울특별시 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)"
615,이촌,일반,"서울특별시 용산구 이촌로 276 (이촌동)"
616,신용산역,일반,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산)"
617,용산파크타워,일반,"서울특별시 용산구 서빙고로 67 (용산동5가, 파크타워)"
618,남영동,일반,"서울특별시 용산구 한강대로 275 (갈월동)"
619,한남동R,R,"서울특별시 용산구 독서당로 94 (한남동)"
620,서울타워,일반,"서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층"
621,서울역동자동,일반,"서울특별시 용산구 한강대로 372 (동자동)"
622,순천향입구,일반,"서울특별시 용산구 대사관로 67 (한남동)"
623,동빙고,일반,"서울특별시 용산구 장문로 12 (동빙고동)"
624,숙대입구역,일반,"서울특별시 용산구 한강대로 291 (갈월동)"
625,용산아이파크몰6F,일반,"서울특별시 용산구 한강대로23길 55"
626,동부이촌동,일반,"서울특별시 용산구 이촌로 198 (이촌동)"
627,숙명여대정문,일반,"서울특별시 용산구 청파로47길 100 (청파동2가) 프라임관B1F(로비층)"
628,용산해링턴스퀘어,일반,"서울특별시 용산구 서빙고로 17 (한강로3가)"
629,경리단길,일반,"서울특별시 용산구 회나무로 3 (이태원동)"
630,서울역사,일반,"서울특별시 용산구 한강대로 405 (동자동) 신-101호"
631,용산리첸시아,일반,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)"
632,용산전자랜드,일반,"서울특별시 용산구 청파로 74 (한강로3가)"
633,용산이마트,일반,"서울특별시 용산구 한강대로23길 55 (한강로3가) 용산이마트 지하 2층"
634,용산아이파크몰1F,일반,"서울특별시 용산구 한강대로23길 55 1층 (한강로3가)"
635,상봉,일반,"서울특별시 중랑구 상봉로 131 (상봉동, 상봉 듀오트리스 주상복합)"
636,중랑역,일반,"서울특별시 중랑구 망우로30길 3 (상봉동)"
637,중랑구청,일반,"서울특별시 중랑구 신내로 72"
638,사가정역,일반,"서울특별시 중랑구 면목로 310"
639,상봉역,일반,"서울특별시 중랑구 망우로 307 (상봉동)"
640,묵동,일반,"서울특별시 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층"
641,망우동,일반,"서울특별시 중랑구 망우로 407 (망우동)"
642,양원역,일반,"서울특별시 중랑구 양원역로10길 3 (망우동)"
643,중화역,일반,"서울특별시 중랑구 봉화산로 35 1층"
